,n,Insertion Sort,Merge Sort,Quick Sort
,190,826,835,707
,195,899,824,769
,200,947,834,811
,205,1018,861,800
,210,986,942,916
,215,1129,915,888
,220,1154,937,916
,225,1111,1083,979
,230,1129,993,856
,235,1282,1004,904
,240,1324,1120,961
,245,1461,1061,979
,250,1437,1089,1088
,255,1419,1143,1047
,260,1514,1207,1143
,265,1599,1166,1068
,270,1733,1199,1077
,275,1661,1220,1156
,280,1778,1277,1347
,285,1853,1253,1158
,290,1871,1276,1183
,295,1758,1373,1246
,300,2006,1356,1206
,305,2061,1356,1273
,310,2107,1372,1264
,315,2261,1401,1257
,320,2171,1446,1384
,325,2279,1488,1327
,330,2410,1488,1507
,335,2369,1571,1345
,340,2484,1525,1385
,345,2560,1555,1417
,350,2593,1576,1376
,355,2635,1608,1510
,360,2845,1717,1468
,365,2839,1648,1469
,370,3004,1692,1487
,375,2852,1713,1597
,380,3272,1746,1548
,385,3187,1802,1648
,390,3236,1806,1797
,395,3303,1811,1612
,400,3402,1843,1632
,405,3250,1853,1769
,410,3567,1885,1697
,415,3437,2041,1761
,420,4062,1991,1839
,425,3841,2011,1795
,430,4029,2110,1786
,435,4186,2041,1765
,440,4329,2091,1912
,445,4501,2154,1925
,450,4170,2320,1944
,455,4408,2270,1907
,460,4549,2146,1843
,465,4554,2178,1961
,470,4216,2190,1947
,475,4835,2234,2213
,480,4717,2232,1980
,485,5045,2270,2073
,490,5106,2308,2024
,495,5202,2327,2065
,500,5099,2348,2166
###############################################,,,,
,5,11.0000000002,15.0000000003,14.0000000002
,10,16,27.0000000002,30.9999999999
,15,20.9999999998,41.9999999997,40.0000000003
,20,35,59.0000000003,64.0000000001
,25,36.9999999998,76,69.0000000003
,30,46.9999999999,95,93.0000000001
,35,54,114,116
,40,71.9999999998,132,123
,45,80.0000000001,151,155
,50,91.0000000003,176,164
,55,117,250,191
,60,143,211,226
,65,149,231,234
,70,152,252,232
,75,176,272,259
,80,206,298,285
,85,221,321,306
,90,245,340,320
,95,261,358,381
,100,280,385,341
,105,303,403,364
,110,325,431,393
,115,343,447,408
,120,364,480,459
,125,470,494,511
,130,422,519,469
,135,461,536,477
,140,483,563,493
,145,539,589,517
,150,558,603,549
,155,570,625,572
,160,624,644,651
,165,698,672,666
,170,753,725,720
,175,727,721,652
,180,811,744,716
,185,805,767,715
,190,844,791,715
,195,905,817,794
,200,935,835,745
,205,993,893,814
,210,1022,888,819
,215,1048,907,798
,220,1155,926,855
,225,1187,977,934
,230,1235,1003,945
,235,1189,1006,944
,240,1296,1022,919
,245,1382,1053,946
,250,1411,1087,940
,255,1520,1103,1002
,260,1421,1119,1061
,265,1610,1151,1009
,270,1602,1210,1152
,275,1639,1402,1241
,280,1782,1282,1229
,285,1952,1283,1173
,290,1830,1326,1112
,295,1849,1300,1153
,300,1894,1329,1175
,305,1950,1357,1306
,310,2137,1440,1289
,315,2159,1398,1295
,320,2145,1425,1265
,325,2329,1458,1309
,330,2267,1475,1411
,335,2506,1504,1427
,340,2504,1550,1435
,345,2561,1548,1463
,350,2417,1573,1394
,355,2623,1636,1468
,360,2917,1659,1551
,365,2872,1668,1451
,370,3110,1738,1520
,375,2927,1703,1517
,380,3106,1737,1512
,385,3274,1753,1626
,390,3227,1774,1598
,395,3256,1857,1731
,400,3365,1831,1620
,405,3568,1907,1953
,410,3557,1875,1790
,415,3692,1903,1677
,420,3640,1932,1725
,425,3705,1995,1797
,430,3802,1988,1723
,435,3765,2130,1861
,440,4256,2121,1882
,445,4177,2125,1921
,450,4242,2223,2077
,455,4442,2221,1965
,460,4761,2305,1925
,465,4451,2304,2133
,470,4592,2195,1972
,475,4517,2236,2119
,480,4916,2232,2088
,485,4952,2265,2014
,490,4858,2328,2105
,495,5203,2318,2158
,500,5134,2417,2189
###############################################,,,,
,5,11.9999999999,14.9999999999,13.9999999997
,10,16,27.0000000002,28.0000000004
,15,22,43.0000000002,45.9999999998
,20,30.0000000002,59.0000000003,54.9999999997
,25,37.0000000003,76.9999999997,122
,30,47.9999999996,96.0000000001,90.0000000001
,35,59.9999999999,113,110
,40,80.0000000001,133,122
,45,79.0000000004,152,143
,50,92.9999999997,176,166
,55,111,189,179
,60,121,215,191
,65,143,231,215
,70,143,251,244
,75,177,275,233
,80,186,293,285
,85,227,314,295
,90,224,339,329
,95,238,358,373
,100,271,383,374
,105,305,412,362
,110,343,437,406
,115,405,453,434
,120,381,471,419
,125,448,487,476
,130,464,517,478
,135,469,533,490
,140,494,591,509
,145,517,588,559
,150,552,605,543
,155,585,627,566
,160,608,644,605
,165,636,668,610
,170,687,697,693
,175,691,719,693
,180,739,746,740
,185,777,767,747
,190,838,792,754
,195,879,810,699
,200,910,890,811
,205,986,861,807
,210,986,884,829
,215,1036,908,813
,220,1122,938,833
,225,1145,954,872
,230,1180,975,926
,235,1266,1002,987
,240,1401,1075,916
,245,1269,1058,976
,250,1413,1083,1021
,255,1406,1109,972
,260,1585,1121,990
,265,1577,1151,1050
,270,1623,1174,1080
,275,1682,1238,1132
,280,1690,1244,1184
,285,1772,1247,1117
,290,1795,1311,1180
,295,1946,1306,1189
,300,2050,1329,1224
,305,1985,1368,1258
,310,2176,1375,1265
,315,2205,1402,1282
,320,2282,1423,1371
,325,2279,1489,1366
,330,2371,1484,1343
,335,2372,1522,1344
,340,2375,1578,1369
,345,2521,1554,1366
,350,2774,1569,1405
,355,2666,1687,1407
,360,2860,1624,1512
,365,2869,1709,1488
,370,3050,1695,1606
,375,3072,1699,1599
,380,2879,1730,1536
,385,3363,1744,1583
,390,3212,1787,1666
,395,3396,1804,1606
,400,3398,1825,1688
,405,3697,1856,1754
,410,3669,1909,1685
,415,3654,1960,1819
,420,3663,1933,1642
,425,3836,1962,1858
,430,3940,2003,1783
,435,4094,2194,1784
,440,4107,2119,1839
,445,4328,2113,1881
,450,4511,2152,1960
,455,4300,2268,1946
,460,4948,2228,1931
,465,4600,2225,2031
,470,4871,2244,1883
,475,4943,2272,2080
,480,5018,2579,2060
,485,4786,2297,2210
,490,5415,2346,2105
,495,5380,2398,2310
,500,5258,2419,2225
###############################################,,,,
,5,13,14.9999999999,16
,10,14.9999999999,27.9999999999,26.9999999998
,15,22,42.9999999998,46.9999999999
,20,30.0000000002,67,61.0000000001
,25,40.0000000003,78.9999999999,106
,30,50.0000000003,95,102
,35,58.0000000001,115,105
,40,70.9999999997,133,128
,45,83.0000000001,152,144
,50,99.9999999998,179,168
,55,102,191,192
,60,131,211,215
,65,141,237,229
,70,148,253,245
,75,205,275,312
,80,253,304,293
,85,224,323,352
,90,242,343,316
,95,253,359,472
,100,331,430,382
,105,289,415,413
,110,347,439,402
,115,369,448,422
,120,526,505,506
,125,456,526,495
,130,447,543,536
,135,466,535,517
,140,504,559,568
,145,572,586,558
,150,571,611,589
,155,639,657,608
,160,692,666,603
,165,651,687,638
,170,720,705,658
,175,738,746,719
,180,808,793,720
,185,867,785,716
,190,801,833,794
,195,917,839,849
,200,1063,864,859
,205,925,878,804
